"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACION","PSOE","PP","Vox","UP","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EHB","CUP","CC-NCa","BNG","NA+","PRC","VENTAJA"
"2","ElectoPanel/Electomania","<a href= https://electomania.es/ep29n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","22-27 Nov 2020","1310","","27.2","21.4","17.4","11.8","6.6","3.3","1.5","2.5","1.6","1.3","0.8","0.5","0.7","0.4","0.3","5.8"
"4","DYM/Henneo","<a href= https://www.20minutos.es/noticia/4488629/0/gobierno-acusa-gestion-coronavirus-pp-psoe/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> DYM/Henneo </a>","18-20 Nov 2020","1001","","23.6","23.5","17.2","9.8","8.9","","","","","","","","","","","0.1"
"5","ElectoPanel/Electomania","<a href= https://electomania.es/ep22n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","16-20 Nov 2020","2398","","27.2","21.1","17.0","11.7","6.4","3.4","2.5","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.1"
"6","ElectoPanel/Electomania","<a href= https://electomania.es/ep15n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","10-13 Nov 2020","1290","","26.7","20.8","17.4","11.5","6.9","3.3","2.5","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","5.9"
"8","CIS","<a href= http://datos.cis.es/pdf/Es3300marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> CIS </a>","3-12 Nov 2020","3853","","30.4","18.6","13.2","11.4","9.5","3.2","1.8","1.7","1.5","0.7","0.7","0.4","0.6","0.4","","11.8"
"9","Simple Logica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-noviembre-2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Simple Logica </a>","4-11 Nov 2020","1036","63.4","29.2","20.5","15.7","11.5","5.1","","","","","","","","","","","8.7"
"10","ElectoPanel/Electomania","<a href= https://electomania.es/ep8n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","6-7 Nov 2020","1263","","26.8","20.6","17.5","11.5","7.1","3.3","2.4","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.2"
"11","NC Report/La Razon","<a href= https://www.larazon.es/espana/20201109/l3pp65zztvcfrlczkhwdufzfaq.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","30 Oct-7 Nov 2020","1000","63.1","26.8","23.2","15.9","11.5","7.2","3.5","2.1","2.5","1.5","1.3","0.8","0.4","0.8","0.4","0.2","3.6"
"12","ElectoPanel/Electomania","<a href= https://electomania.es/ep1n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","30-31 Oct 2020","1730","","26.9","20.0","17.6","11.6","7.4","3.3","2.3","2.7","1.4","1.3","0.7","0.5","0.7","0.4","0.2","6.9"
"13","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-y-el-pp-sube-mas-de-dos-puntos-respecto-al-10-n_202011015f9eb95f9a1c4e000164b116.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Invymark/laSexta </a>","26-30 Oct 2020","","","28.5","23.2","14.7","11.0","7.3","","","","","","","","","","","5.3"
"14","DYM/Henneo","<a href= https://www.20minutos.es/noticia/4430577/0/pp-primera-fuerza-mocion-gobernar-vox-cs-encuesta-dym/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> DYM/Henneo </a>","22-23 Oct 2020","1006","","25.0","24.5","16.6","10.3","7.8","","","","","","","","","","","0.5"
"15","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2020/10/24/5f9481f2fdddff74498b4625.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Sigma Dos/El Mundo </a>","22-23 Oct 2020","1000","","29.3","24.0","14.9","11.8","6.8","3.0","1.0","2.0","1.9","","","","","","","5.3"
"16","Hamalgama Metrica/OKDiario","<a href= https://okdiario.com/espana/pp-pierde-11-escanos-respecto-mayo-queda-100-psoe-lidera-109-vox-sube-58-6324174 target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Hamalgama Metrica/OKDiario </a>","21-23 Oct 2020","1000","","26.9","23.1","15.7","12.6","6.1","3.6","","","","","","","","0.4","","3.8"
"17","ElectoPanel/Electomania","<a href= https://electomania.es/ep22o20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","19-22 Oct 2020","4772","","27.0","20.2","17.4","11.6","7.5","3.3","2.3","2.6","1.4","1.3","0.7","0.5","0.6","0.4","0.2","6.8"
"19","SocioMetrica/El Espanol","<a href= https://www.elespanol.com/espana/politica/20201018/repunte-vox-pp-sanchez-sondeo-publica-espanol/529197669_0.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> SocioMetrica/El Espanol </a>","15-17 Oct 2020","2103","","26.6","22.8","16.3","10.5","7.1","3.2","2.5","3.0","1.8","1.3","","0.4","0.7","0.4","0.3","3.8"
"20","NC Report/La Razon","<a href= https://www.larazon.es/espana/20201018/xslzb4tpajh5vne6jm57jz37fy.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","13-17 Oct 2020","1000","62.6","27.0","23.6","15.6","11.4","6.3","3.4","","2.6","1.5","1.2","","","","","","3.4"
"21","ElectoPanel/Electomania","<a href= https://electomania.es/ep18o20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","12-16 Oct 2020","1450","","27.0","20.4","17.0","11.6","7.7","3.3","2.3","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.6"
"22","GIPEyOP","<a href= https://www.uv.es/pavia/Informe_GIPEyOP_encuesta_COVID_octubre.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> GIPEyOP </a>","23 Sep-14 Oct 2020","1955","59.4","21.0","17.4","19.7","14.7","5.5","3.7","4.1","3.1","1.8","1.6","2.1","0.5","1.1","0.1","","1.3"
"23","Sigma Dos/Antena 3","<a href= https://www.antena3.com/noticias/espana/barometro-recorta-distancia-psoe-que-mantiene-primero-intencion-voto_202010105f81ad247c72380001caebf1.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Sigma Dos/Antena 3 </a>","10 Oct 2020","","","28.1","24.1","14.0","12.4","7.2","3.2","0.9","1.7","1.9","","","","","","","4.0"
"24","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-ahora-las-elecciones-con-un-288-de-los-votos_202010115f82f93b7c72380001cc5a2a.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Invymark/laSexta </a>","5-9 Oct 2020","","","28.8","22.7","15.1","11.1","7.4","","","","","","","","","","","6.1"
"25","ElectoPanel/Electomania","<a href= https://electomania.es/ep11oct20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","5-9 Oct 2020","1265","","27.1","20.7","16.7","11.5","7.9","3.3","2.2","2.7","1.4","1.2","0.7","0.5","0.6","0.4","0.2","6.4"
"26","Simple Logica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-octubre-2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Simple Logica </a>","1-9 Oct 2020","1060","63.6","27.2","19.5","17.1","11.0","7.5","","","","","","","","","","","7.7"
"28","CIS","<a href= http://datos.cis.es/pdf/Es3296marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> CIS </a>","1-7 Oct 2020","2924","","30.8","18.9","12.5","11.7","8.8","3.3","1.8","1.8","1.3","1.1","0.5","0.2","0.5","0.4","0.2","11.9"
"29","ElectoPanel/Electomania","<a href= https://electomania.es/ep4oct20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","1-3 Oct 2020","1265","","27.1","20.7","16.4","11.4","8.3","3.4","2.2","2.6","1.4","1.2","0.7","0.5","0.6","0.4","0.2","6.4"
"30","GAD3/ABC","<a href= https://www.abc.es/espana/abci-aumenta-13-diputados-desde-julio-y-pp-pierde-18-202010050208_noticia.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> GAD3/ABC </a>","28 Sep-2 Oct 2020","960","","27.3","23.8","14.6","11.3","5.8","3.5","1.5","1.9","1.9","1.2","0.8","0.4","0.8","0.4","0.3","3.5"
"31","ElectoPanel/Electomania","<a href= https://electomania.es/ep27s20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","22-25 Sep 2020","1410","","27.4","20.2","16.9","10.9","8.4","3.4","2.3","2.7","1.4","1.2","0.7","0.5","0.6","0.4","0.2","7.2"
"32","DYM/Henneo","<a href= https://www.diariodenavarra.es/noticias/actualidad/nacional/2020/09/23/la-segunda-ola-covid-apenas-desgasta-partido-sanchez-702661-1031.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> DYM/Henneo </a>","16-20 Sep 2020","1008","","25.8","24.0","13.7","10.8","8.8","","","","","","","","","","","1.8"
"33","Demoscopia y Servicios/ESdiario","<a href= https://www.esdiario.com/510321687/Sondeo-ESdiario-Sanchez-frena-su-caida-a-costa-del-desgaste-de-las-comunidades.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Demoscopia y Servicios/ESdiario </a>","17-19 Sep 2020","1000","","25.7","23.5","15.3","13.2","6.5","3.1","1.6","2.7","1.5","1.4","0.9","0.4","0.6","0.4","0.3","2.2"
"34","ElectoPanel/Electomania","<a href= https://electomania.es/ep20s20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","16-19 Sep 2020","1632","","27.3","20.1","16.6","11.1","8.7","3.4","2.2","2.6","1.5","1.2","0.7","0.5","0.7","0.4","0.2","7.2"
"35","NC Report/La Razon","<a href= https://www.larazon.es/espana/20200921/osw3ayszybesjottjov3lq2h54.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","15-19 Sep 2020","1000","62.4","26.8","24.1","15.2","11.3","6.3","3.4","2.4","2.6","1.5","1.2","","","","0.4","","2.7"
"37","Metroscopia","<a href= https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Metroscopia </a>","17 Sep 2020","","59","28.3","21.0","17.5","10.2","5.7","2.7","","","","","","","","0.4","","7.3"
"38","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-un-60-de-los-encuestados-prefiere-a-ciudadanos-antes-que-a-los-partidos-independentistas-para-pactar-los-presupuestos_202009135f5e0e35653ee200019a7e07.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Invymark/laSexta </a>","7-11 Sep 2020","","","28.6","22.4","14.5","11.3","7.3","","","","","","","","","","","6.2"
"39","ElectoPanel/Electomania","<a href= https://electomania.es/avanceep13s20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","7-11 Sep 2020","1227","","27.0","20.3","16.6","11.1","8.6","3.4","2.2","2.7","1.3","1.2","0.7","0.5","0.6","0.4","0.2","6.7"
"40","Simple Logica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-septiembre-2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Simple Logica </a>","1-11 Sep 2020","1065","63.4","28.1","22.1","15.8","12.3","6.1","","","","","","","","","","","6.0"
"42","CIS","<a href= http://datos.cis.es/pdf/Es3292marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> CIS </a>","1-7 Sep 2020","2904","","31.5","18.1","11.7","12.2","10.6","2.8","1.5","1.7","1.2","0.8","0.6","0.6","0.8","0.5","0.2","13.4"
"43","Sigma Dos/Antena 3","<a href= https://www.antena3.com/noticias/espana/barometro-psoe-suben-intencion-voto-populares-recortando-distancia-mientras-resto-formaciones-pierden-apoyo_202009065f54da034ac60a0001157c29.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Sigma Dos/Antena 3 </a>","6 Sep 2020","","","28.9","25.3","13.5","12.1","6.2","3.3","0.9","1.6","1.9","","","","","","","3.6"
"44","ElectoPanel/Electomania","<a href= https://electomania.es/ep6s20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","30 Aug-3 Sep 2020","1240","","27.5","20.8","16.4","10.6","8.2","3.4","2.3","2.7","1.4","1.2","0.7","0.5","0.7","0.4","0.2","6.7"
"45","SocioMetrica/El Espanol","<a href= https://www.elespanol.com/espana/politica/20200831/podemos-intencion-voto-baja-llego-congreso-diputados/516948831_0.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> SocioMetrica/El Espanol </a>","28-30 Aug 2020","1620","","27.3","24.1","14.3","9.6","8.7","3.4","2.3","2.7","1.7","1.3","0.8","0.6","0.6","0.4","0.2","3.2"
"46","NC Report/La Razon","<a href= https://www.larazon.es/espana/20200831/2plhyftsyjbltbdokw44jnf66a.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","25-29 Aug 2020","1000","62.1","26.9","24.7","15.0","10.7","5.7","3.5","2.4","2.5","1.5","1.3","","","","","","2.2"
"47","ElectoPanel/Electomania","<a href= https://electomania.es/ep30a20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","23-27 Aug 2020","1430","","27.4","21.4","15.8","11.5","7.5","3.5","2.1","2.7","1.4","1.2","0.7","0.5","0.7","0.4","0.2","6.0"
"48","SW Demoscopia","<a href= http://swdemoscopia.com/2020/08/21/barometro-agosto-sw/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> SW Demoscopia </a>","19-21 Aug 2020","1001","","28.7","20.2","15.9","11.4","9.5","3.6","1.2","2.5","1.5","1.3","","","","","","8.5"
"49","ElectoPanel/Electomania","<a href= https://electomania.es/ep21a20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","18-21 Aug 2020","1520","","27.2","22.1","15.3","11.2","7.4","3.5","2.1","2.8","1.3","1.2","0.7","0.5","0.7","0.4","0.2","5.1"
"50","ElectoPanel/Electomania","<a href= https://electomania.es/ep16a2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","10-13 Aug 2020","1802","","26.7","22.9","14.7","11.5","7.2","3.6","2.1","2.9","1.3","1.3","0.7","0.5","0.7","0.4","0.2","3.8"
"51","Simple Logica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-agosto-2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Simple Logica </a>","3-6 Aug 2020","1046","65.1","29.2","22.9","13.5","11.4","6.3","","","","","","","","","","","6.3"
"52","ElectoPanel/Electomania","<a href= https://electomania.es/ep9a20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","3-6 Aug 2020","2150","","26.8","23.0","14.1","11.6","7.7","3.8","2.1","3.0","1.3","1.3","0.6","0.5","0.7","0.4","0.2","3.8"
"53","ElectoPanel/Electomania","<a href= https://electomania.es/epvoto4ago20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","3-4 Aug 2020","1530","","27.5","23.1","14.1","10.6","7.9","3.7","2.1","2.8","1.4","1.3","0.6","0.5","0.7","0.4","0.2","4.4"
"54","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/mejora-psoe-capitaliza-gestion-pandemia-resultados-10n-pp-alza_1_6156405.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Celeste-Tel/eldiario.es </a>","27-31 Jul 2020","1100","64.1","28.7","24.4","14.6","11.9","5.3","3.5","2.2","2.2","1.6","1.2","1.0","0.6","0.9","0.4","0.2","4.3"
"55","ElectoPanel/Electomania","<a href= https://electomania.es/ep2a20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","25-31 Jul 2020","1700","","28.9","23.0","14.2","10.0","7.7","3.7","1.9","2.4","1.4","1.3","0.6","0.5","0.7","0.4","0.2","5.9"
"56","Metroscopia","<a href= https://cincodias.elpais.com/cincodias/2020/09/24/opinion/1600954147_716480.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Metroscopia </a>","26 Jul 2020","","","29.7","24.8","13.0","10.7","5.3","","","","","","","","","","","4.9"
"57","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-de-lasexta-el-psoe-volveria-a-ganar-las-elecciones-con-el-29-de-apoyos-y-vox-se-consolidaria-como-tercera-fuerza_202007265f1da8d3f5f4b20001d960b9.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Invymark/laSexta </a>","20-24 Jul 2020","","","29.1","21.4","14.0","11.9","7.9","","","","","","","","","","","7.7"
"58","ElectoPanel/Electomania","<a href= https://electomania.es/ep26jul20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","20-24 Jul 2020","1500","","29.1","22.7","14.1","9.9","7.9","3.8","2.0","2.4","1.4","1.3","0.6","0.5","0.7","0.4","0.2","6.4"
"59","CIS","<a href= http://datos.cis.es/pdf/Es3290marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> CIS </a>","9-19 Jul 2020","2926","","32.4","19.4","12.3","12.6","8.7","2.8","1.6","1.3","1.0","1.0","0.5","0.5","0.8","0.4","0.3","13.0"
"60","NC Report/La Razon","<a href= https://www.larazon.es/espana/20200720/fck5wsy4mjfe7otj4dbjlqps74.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","14-18 Jul 2020","1000","62.2","26.4","25.2","14.9","10.7","5.5","3.6","2.1","2.4","1.6","1.3","","","","0.4","","1.2"
